Entry,Neighborhood,Latitude,Longitude,Lot Size,Finished Size,Sale Price,Year Built,Bathrooms,Bedrooms
320,Squirrel Hill North,40.451572,-79.924043,1480,1560," $472,478 ",1987,2.5,2
321,Squirrel Hill South,40.435904,-79.912567,5251,2352," $476,264 ",1920,3,5
322,Point Breeze,40.448373,-79.904706,4460,2460," $476,583 ",1963,3,4
323,Squirrel Hill South,40.420497,-79.915708,3279,1964," $487,287 ",2004,2.5,3
324,Central Business District,40.44091,-79.999633,1284,1284," $487,494 ",2009,2,2
325,Shadyside,40.455575,-79.924935,5250,2561," $492,392 ",1900,2.5,3
326,Squirrel Hill South,40.423259,-79.912542,3484,2276," $496,453 ",2002,2.5,3
327,Shadyside,40.45666,-79.926665,4438,2592," $504,764 ",1910,3.5,4
328,Squirrel Hill North,40.441579,-79.924301,4899,2919," $512,289 ",1907,3.5,5
329,Highland Park,40.477413,-79.917234,7700,3190," $513,518 ",1956,4,4
330,Point Breeze,40.447842,-79.899453,11565,2906," $537,286 ",1915,3.5,5
331,Squirrel Hill North,40.440994,-79.922326,4900,2657," $540,766 ",1912,2.5,5
332,Mount Washington,40.431489,-80.007279,2130,2130," $566,075 ",1978,2,2
333,Squirrel Hill North,40.440204,-79.936743,1965,2128," $582,828 ",1982,3,3
334,Squirrel Hill South,40.421781,-79.915952,9615,2974," $595,584 ",1994,3.5,3
335,North Oakland,40.448255,-79.957411,6921,2876," $596,761 ",1930,3.5,5
336,Mount Washington,40.431506,-80.007128,2130,2130," $601,986 ",1978,2.5,3
337,North Oakland,40.448348,-79.957284,6711,2888," $603,294 ",1925,3,5
338,Squirrel Hill North,40.451202,-79.92411,1833,2228," $607,730 ",1991,3,2
339,Shadyside,40.450918,-79.941749,7266,2500," $613,947 ",1927,3,3
340,Squirrel Hill North,40.439745,-79.937823,3604,2204," $630,535 ",1985,2.5,3
341,Squirrel Hill North,40.439388,-79.931658,8712,2115," $634,679 ",1960,3,3
342,Shadyside,40.453052,-79.929389,4500,2402," $637,603 ",1903,2.5,4
343,Squirrel Hill North,40.445385,-79.938386,12707,2463," $638,659 ",1950,4,4
344,Shadyside,40.450166,-79.933022,2424,3441," $639,367 ",1920,3,4
345,Herrs Island,40.461989,-79.978746,2875,2410," $648,130 ",1999,4,4
346,Shadyside,40.45122,-79.931299,4869,3054," $655,560 ",1913,3.5,4
347,Squirrel Hill North,40.441768,-79.926799,5640,4336," $660,021 ",1902,3.5,7
348,Shadyside,40.452507,-79.939056,4360,2637," $671,537 ",1925,4,4
349,Point Breeze,40.450376,-79.919817,8250,2888," $703,147 ",1958,2.5,2
350,Point Breeze,40.448486,-79.912147,11900,3738," $741,845 ",1934,4,5
351,Shadyside,40.450357,-79.943666,11250,3167," $746,576 ",1955,4,5
352,Squirrel Hill South,40.418755,-79.920481,5298,3392," $749,699 ",2013,3.5,5
353,Shadyside,40.451782,-79.936567,6805,3996," $790,269 ",1895,2.5,4
354,Mount Washington,40.43629,-80.014724,2444,2444," $802,340 ",1980,4.5,3
355,Squirrel Hill North,40.440936,-79.932757,100,4210," $878,071 ",1913,3.5,6
356,Shadyside,40.454071,-79.932531,6997,4585," $916,741 ",1911,3.5,4
357,Squirrel Hill North,40.442412,-79.932916,14000,5452," $952,321 ",1920,5,7
358,Squirrel Hill North,40.450451,-79.921792,12065,5363," $985,002 ",1942,5.5,5
