name,latitude,longitude
KFC - Kentucky Fried Chicken,46.977332,-123.804794
KFC,46.977587,-123.803964
Taco Bell,46.977584,-123.803555
Dairy Queen,46.961034,-123.803293
McDonald's,46.6808,-123.7389
Dairy Queen,43.1208,-123.4189
Taco Time,48.1116,-123.4151
Frugals,48.109656,-123.407724
Taco Bell,48.10689,-123.39949
Jimmy John's,48.1061,-123.3979
McDonald's,43.14607,-123.37927
Orange Julius,43.234559,-123.373651
McDonald's,43.23357,-123.372345
Panda Express,43.23079,-123.37046
Jack in the Box,43.237802,-123.370214
SUBWAY,43.2353,-123.3691
Arby's,43.150567,-123.368033
Taco Time,43.2138,-123.3589
Dairy Queen,44.5402,-123.3586
Taco Time,44.0542,-123.3551
Taco Bell,43.226972,-123.353477
Krispy Krunchy Chicken,43.2458,-123.352
Mcdonalds,43.22646,-123.34994
McDonald's,39.3946,-123.3495
Taco Bell,39.394159,-123.34914
China Buffet,43.22563,-123.34874
Casablanca Coffee Grill,42.42255,-123.34322
Taco Bell,43.38718,-123.34229
Dairy Queen,43.3869,-123.3399
A&W All American Food,43.38600594,-123.3365465
Abby's Legendary Pizza,42.4216,-123.3344
Subway,42.4206,-123.3343
Subway,42.421768,-123.332838
Burger King,42.4248,-123.3299
Dairy Queen Grill & Chill,42.4574,-123.3231
Wendy's,42.460906,-123.322648
Dairy Queen,42.458949,-123.322634
Carl's Jr.,42.459283,-123.322632
Domino's Pizza,42.43921,-123.32205
Jack in the Box,42.4582,-123.3213
Jimmy's Classic Drive-In,42.43915,-123.32094
Kow Loon Restaurant,43.2131,-123.3197
Pizza Hut,42.434948,-123.31027
McDonald's,42.437441,-123.307733
Burger King,44.55222,-123.307617
Abby's Legendary Pizza,42.4364,-123.3071
Burger King,44.930722,-123.306618
Mc Donald's,42.4347,-123.3017
Subway,43.53903,-123.2882
Subway,43.544354,-123.284679
Ken's Sidewalk Cafe,42.92785,-123.27957
Chipotle Mexican Grill,44.569038,-123.279124
Panda Express,44.565,-123.2791
Pizza Hut,44.5919,-123.2757
QDOBA Mexican Eats,44.590412,-123.27217
Carl's Jr.,44.571228,-123.264616
Dairy Queen,44.5621,-123.2618
Panera Bread,44.56714,-123.26032
McDonald's,44.566313,-123.259904
Jimmy John's,44.585,-123.2572
Kfc,44.58517,-123.25623
Burger King,44.592159,-123.252999
Arby's,44.592948,-123.251966
Subway,44.84848,-123.23554
Carl's Jr.,39.1676,-123.2109
China House,45.19664,-123.20889
China House,45.1964,-123.2082
SUBWAY,46.105188,-123.20757
Ellie's Mutt Hut & Vegetarian,39.1415,-123.2064
Dairy Queen,44.222832,-123.204875
In-N-Out Burger,39.1307,-123.2047
McDonald's,44.222633,-123.204434
McDonald's,44.851161,-123.204255
Chipotle Mexican Grill,39.1516,-123.1994
Dominos Pizza,45.223637,-123.19376
Taco Bell,45.225384,-123.188619
Jimmy John's,45.22638,-123.18345
Wendy's,45.2265,-123.1806
SUBWAY,44.06999,-123.17901
Burger King,45.2277,-123.1754
Burger King,45.227689,-123.175374
Burger King®,45.22778,-123.17514
Arby's,45.22944,-123.171326
Abby's Legendary Pizza,42.43492,-123.1707
Taco Bell,44.08469,-123.16878
Jack in the Box,44.048291,-123.168409
