game_id,name,year_published,average_rating,users_rated,playing_time
525,Pisa,1999,6.30721,104,45
526,Abalone,1987,6.42826,4593,30
527,GIPF,1997,7.11612,2304,60
528,ZÈRTZ,1999,7.30703,3255,60
530,Entenrallye,1988,5.71818,66,60
531,Merchants of Amsterdam,2000,6.73194,1434,60
533,Labyrinth: The Card Game,2000,5.53712,1041,30
534,N.Y. Chase,1999,6.43521,486,45
535,Power Barons,1986,5.39224,165,30
536,Visionary,1997,6.49163,203,60
538,Manager,1991,6.38866,119,60
539,Dampfross,1979,6.32102,664,90
540,Sisimizi,1996,6.3048,198,45
541,Das Motorsportspiel,1995,7.47279,346,120
542,Democrazy,2000,5.50497,1071,45
545,Kaleidos,1994,6.74532,571,60
548,Buck Rogers: Battle for the 25th Century Game,1988,6.41815,712,120
550,Barbarossa,1988,6.41039,1242,60
551,Battle Cry,2000,7.16677,3200,45
552,Bus,1999,6.8486,653,120
553,Chez Geek,1999,5.74057,3871,60
554,La Città,2000,7.09621,4643,120
555,The Princes of Florence,2000,7.59407,13115,100
556,7 Safari,2000,5.38043,92,20
557,Laguna,2000,5.86189,125,30
558,Der weiße Lotus,2000,6.17457,208,80
559,Metro,1997,6.36559,4608,30
561,Flußpiraten,1990,6.09549,89,90
562,Silberzwerg,2000,6.41595,384,60
563,Doolittle & Waite,1986,6.21793,87,90
564,Die Seidenstraße,1998,5.39241,79,60
565,Port Royal,2000,6.16327,113,60
566,Wongar,2000,6.32718,389,90
568,Rage,1983,6.18028,1374,45
569,Maestro,1989,5.85216,162,30
571,Papua,1992,6.10845,71,60
572,Battle Cattle,1996,5.42319,69,60
573,Grand Prix,1975,6.2725,80,60
574,Formel Fun,1991,6.41113,284,30
575,Das Kollier,2000,5.5339,59,30
577,Parts Unknown,1999,5.93946,223,90
581,Tile Chess,1999,5.93413,225,90
585,Kardinal,2000,6.675,112,20
586,Up Front,1983,7.83799,1865,60
589,Wiz-War,1983,6.90275,1527,60
590,Mille Bornes,1954,5.67488,5740,45
593,Favoriten,1989,6.38804,158,60
594,Sleuth,1971,6.89221,2209,45
595,Escape from Elba,1999,5.42468,154,60
600,Die Weinhändler,2000,5.06339,56,60
602,Career Poker,1988,6.57831,189,60
603,Putsch,1998,5.51987,78,120
605,Banana Republic,1993,5.33636,154,30
606,Pico 2,1997,5.89776,263,5
607,Honor of the Samurai,1996,5.90247,753,90
608,Siesta,1999,6.30286,280,60
610,Knights of the Rainbow,1999,4.77344,64,45
612,Kippit,1999,5.95943,140,30
613,Overboard,1978,5.58393,56,15
614,Rubik's Race,1982,5.93199,274,5
618,MLB Showdown,2000,6.12056,214,40
619,The Bottle Imp,1995,6.74224,2376,30
620,We the People,1994,7.33241,1058,120
621,25 Words or Less,1996,6.57136,469,60
622,Change!,1999,5.29784,162,30
623,Swashbuckler,1980,6.90013,225,90
624,Quoridor,1997,6.69271,4271,15
625,Business,1998,6.14306,72,45
626,War and Peace,1980,6.65409,918,240
629,Q-Turn,1999,5.02936,157,20
631,Daytona 500,1990,7.14886,947,70
632,Cloud 9,1999,6.47126,2051,30
633,Elixir,1997,5.52579,906,60
634,River Dragons,2000,6.46149,2499,30
635,Formula Motor Racing,1995,6.39899,1702,20
637,Stock Car Championship Racing Card Game,1995,6.81936,213,20
638,Hera and Zeus,2000,6.52656,3021,30
639,American Megafauna,1997,7.00869,328,480
643,Deadlands: Doomtown Range Wars,2000,6.31705,132,90
644,Shipwrecked,2000,5.69112,408,30
645,Bosworth,1998,5.82544,338,60
646,Pirate's Plunder,2000,4.58859,64,30
647,Mystick Domination,2000,6.4951,102,30
649,Thieves of Bagdad,1999,6.02897,107,90
650,Fairy Meat,2000,5.91274,84,60
651,Zero,1998,6.4188,474,20
653,Shit!,1996,5.48129,101,20
655,Castle,2000,6.11521,1542,60
657,Münchhausen,1996,5.83728,114,30
660,Riffifi,2000,5.96609,87,15
661,Where's Bob's Hat?,1990,6.22062,377,45
665,Quackshot,1995,6.86743,70,10
668,Sternenhimmel,1995,6.5774,310,30
669,Plague & Pestilence,1993,6.12509,627,30
670,Starship Troopers,1976,6.45814,1031,120
671,Bull Run,1983,6.21137,175,240
673,Star Traders,1987,6.30658,190,120
674,J.U.M.P. Into the Unknown,1999,5.26289,97,120
675,4th Dimension,1979,5.26027,73,45
677,Would You Rather...?,1998,4.41952,543,20
679,Minion Hunter,1992,6.11295,183,60
680,Dune,1984,5.7555,300,90
681,Quarto,1991,6.81715,3791,20
684,Monopoly: The Card Game,2000,5.5495,522,30
686,Dr. Jekyll & Mr. Hyde,1997,6.78882,376,60
687,Cabale,1999,6.20643,140,60
688,Manchu,1988,5.78095,63,240
690,Singapore,1984,6.29078,77,120
691,Timbuktu,1993,6.69874,1599,60
692,Wizard Kings,2000,6.70615,1093,150
695,Fibonacci,1992,6.33246,57,30
696,The Big Idea,2000,6.32968,802,45
697,Conspiracy,1973,6.25721,499,90
698,Gother Than Thou,2000,4.5848,198,20
699,HeroQuest,1989,7.02496,8218,90
700,Battle Masters,1992,6.14928,1726,60
701,A House Divided,1981,7.10135,1701,240
702,Wabbit Wampage,1985,5.8896,202,120
703,Roman Civil War,1993,6.89648,71,120
704,Montgolfiere,1992,5.81943,535,45
705,Caesar in Gallia,1993,6.68922,51,300
706,Frederick the Great,1975,6.81662,376,240
707,When Tigers Fight,1994,6.06806,72,300
708,Holy War: Afghanistan,1991,6.21618,68,180
709,Dragons of Glory,1986,6.17492,61,180
710,Snit's Revenge,1977,6.22529,354,20
711,Elfenroads,1992,7.15087,266,120
712,Blood Bowl (Third Edition),1994,7.57274,4492,180
713,Nuclear War,1965,6.21832,2520,60
714,Talisman,1983,6.40353,4319,240
715,Escape from Colditz,1973,6.61378,2085,180
716,Pizza Party,1987,5.24747,79,10
718,Galaxy: The Dark Ages,2000,6.22986,554,90
719,Tyranno Ex,1990,6.47635,401,120
720,Fast Food Franchise,1992,6.34842,361,120
723,X-Men Alert,1992,6.15464,347,60
724,Chill: Black Morn Manor,1985,6.0444,377,120
730,Breakout: Normandy,1992,7.66202,872,240
731,Escape from New York,1981,5.38169,71,45
736,San Francisco,2000,6.19047,296,90
741,Trajan,1991,6.79154,94,180
742,Germania,1995,6.79577,52,180
746,"The Game of France, 1940: German Blitzkrieg in the West",1972,5.71618,427,180
747,Bitter Woods,1998,6.87249,189,240
748,Trax,1980,6.51616,463,10
751,Minos,1991,6.43037,246,120
752,Maul of America,1998,4.63571,105,120
753,Panzerkrieg,1978,6.33575,221,240
754,Domain,1983,6.05807,147,15
755,Thunder at Cassino,1987,7.00827,351,360
756,Black Vienna,1987,7.03381,412,60
759,Turning Point: Stalingrad,1989,7.18437,611,180
760,Battle Line,2000,7.42393,12222,30
761,The Great Brain Robbery,2000,5.54546,540,60
764,Mad Gab,1996,5.01144,1058,45
765,Space Walk,1999,5.97148,324,45
766,Regatta,1967,6.26356,480,60
768,Keytown,2000,6.46684,98,60
769,Star Trek Red Alert,2000,6.3835,103,90
770,Loot,1992,6.30076,4776,20
771,Kings and Castles,2000,6.59444,135,90
772,Ausbrecher AG,1985,6.0894,233,20
773,Beim Zeus!,1997,5.14789,71,90
