nation,date,Region,Total Population,GDP/Person (PPP$),Life Expectancy
Trinidad and Tobago,2010,America,"1,341,465",17716.97671,69.55
Latvia,2010,Europe & Central Asia,"2,252,060",13466.90975,71.836
South Sudan,2010,Sub-Saharan Africa,9415421,2709.001354,53.488
Hungary,2010,Europe & Central Asia,"9,983,645",16982.81705,74.227
Syria,2010,Middle East & North Africa,"20,410,606",4609.73113,74.693
Guadeloupe,2010,America,"460,666",,80.141
Honduras,2010,America,"7,600,524",3516.584288,72.854
Myanmar,2010,East Asia & Pacific,"47,963,012",1538.131781,64.658
Mexico,2010,America,"113,423,047",11390.58354,76.836
Egypt,2010,Middle East & North Africa,"81,121,077",6059.975994,70.478
"Congo, Dem. Rep.",2010,Sub-Saharan Africa,"65,965,795",373.6323918,49.01
Serbia,2010,Europe & Central Asia,"9,856,222",9437.814608,73.676
Comoros,2010,Sub-Saharan Africa,"734,750",1022.62455,60.223
United Kingdom,2010,Europe & Central Asia,"62,035,570",31448.18228,80.085
Yugoslavia,2010,Europe & Central Asia,,,
Greece,2010,Europe & Central Asia,"11,359,346",24947.10641,80.23
Sri Lanka,2010,South Asia,"20,859,949",4561.071915,73.79
Croatia,2010,Europe & Central Asia,"4,403,330",13615.80718,76.54
Zambia,2010,Sub-Saharan Africa,"13,088,570",1420.231814,54.549
